start_time,stop_time,speaker,value
4.3,7.7,Teacher,他是这样说的，读一下有一大川有。
11.6,22.4,Teacher,那也就是19世纪50年代的时候，这个横梁河是非常美丽的，然而它这个美丽却没能一直持续下去。
22.4,34.2,Teacher,到19世纪60年代的时候，这个府南河的周边建起了很多的工厂，就把工业废水排到了府南河之中，府南河就变成了这幅情形，再看一下它的水质，
34.2,43,Teacher,变得非常差了，于是民间流传的一首打油诗来形容那个时候的府南河，来看一下它是怎样的，读一下同学们。
51.3,55.4,Teacher,那60年代的时候，这个水质是不是无机环境的方面？
55.4,65.9,Teacher,那70年代鱼虾是指生物群落方面，无论是从无机环境还是生物群落方面来看，这个府南河生态系统都受到了一定的破坏，
65.9,74.5,Teacher,这种破坏就引起了周围居民的不满，因为原来是山清水秀的状态，现在是不是又臭又脏，而且臭气熏天呢
74.5,79.6,Teacher,经仍然不满，然后政府呢就开始对这些紫兰河进行治理。
79.6,87,Teacher,首先提出治理紫南河的是龙江路小学的一名小学生，他给当时的市长写信说
87,91.4,Teacher,还我锦江清水，那么这个锦江指的就是府南河。
91.4,92.8,Teacher,嗯那
92.8,103.3,Teacher,咱们看完了这个例子，好，咱们来看几个问题，首先第一个问题，为什么在19世纪50年代的时候，人们也在抚南河里洗衣服，淘米洗菜，
103.3,108.8,Teacher,那么生活污水排到了这个府南河之中，为什么这个府南河依然能够保持清澈？
111.5,112.8,Teacher,因为他有。
115.8,117.5,Teacher,那它具体的原因是什么？
117.5,125.4,Teacher,首先这个生活污水它是一个什么样的污染？是重度污染吗？它是一个轻微的污染，然后它就可以通过一些
125.4,136.4,Teacher,调节方式来进行调节，有物理的沉降，这些朝明形态是会有一些物理性的垃圾能够沉降到河体，然后经过化学的分解，
136.4,143.3,Teacher,这个河水里包括河的底泥里有一些微生物，那就会进行微生物的分解，
143.3,151.8,Teacher,通过这些调节方式它能够保持清澈消除污染，那么这些方式它都属于生态系统的
151.8,158,Teacher,自我调节能力，所以说生态系统它之所以具有稳定性的原因是什么？
158,161.6,Teacher,就是因为它具有自我调节能力，
176.9,182.6,Teacher,那他这个自我调节能力又是怎么实现的，怎么通过下一个问题来探讨。
182.6,193.3,Teacher,那第二个问题，人们是不在阜南河里捕鱼捉虾，如果我少量的去捕阜南河里面的鱼，会不会导致它这个鱼的数量会持续不断的减少，因为
193.3,203.8,Teacher,以至于整个生态系统直接崩溃掉了，会不会不会，那我们也从草到鱼这条食物链来进行简单的分析，生态系统是怎么实现它的自由
203.8,204.9,Teacher,自我调节的，
204.9,208,Teacher,哪位同学能起来分析一下？
208.1,210.7,Teacher,这位同学你来分析一下。
214.8,218.1,Teacher,对鱼的数量减少，跑的数量就会更多。
227.5,233.3,Teacher,因为草的对，因为草的数量增多了，鱼的数量就也增多了，思路非常清晰，啊谢谢，请坐。
233.3,236.5,Teacher,嗯那这个鱼的数量有没有持续不断的减少？
