frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
1,0,0.000,0.88,1,0.578565,0.021897,-0.815342,0.473902,-0.001011,-0.880577,0.555,0.012
2,0,0.033,0.88,1,0.589218,0.018380,-0.807765,0.482911,-0.008094,-0.875632,0.567,0.006
3,0,0.067,0.88,1,0.586263,0.014443,-0.809992,0.486815,-0.015186,-0.873373,0.568,-0.000
4,0,0.100,0.88,1,0.575794,0.000548,-0.817595,0.472710,-0.029702,-0.880717,0.553,-0.017
5,0,0.133,0.88,1,0.579079,-0.001062,-0.815271,0.473722,-0.031716,-0.880103,0.556,-0.019
6,0,0.167,0.88,1,0.581710,0.002834,-0.813391,0.469748,-0.027501,-0.882372,0.555,-0.015
7,0,0.200,0.88,1,0.580236,-0.020299,-0.814195,0.471322,-0.054788,-0.880258,0.555,-0.044
8,0,0.233,0.88,1,0.578070,-0.013702,-0.815872,0.466730,-0.047748,-0.883110,0.551,-0.036
9,0,0.267,0.88,1,0.580119,0.001775,-0.814530,0.470500,-0.032183,-0.881813,0.555,-0.018
10,0,0.300,0.88,1,0.584965,-0.004650,-0.811045,0.476712,-0.039629,-0.878166,0.561,-0.026
11,0,0.333,0.88,1,0.595426,0.015759,-0.803256,0.484144,-0.017062,-0.874822,0.572,-0.001
12,0,0.367,0.88,1,0.603547,0.007543,-0.797292,0.490208,-0.024163,-0.871271,0.580,-0.010
13,0,0.400,0.88,1,0.608712,0.013344,-0.793279,0.496728,-0.022060,-0.867626,0.587,-0.005
14,0,0.433,0.88,1,0.614361,0.033697,-0.788305,0.504595,-0.004482,-0.863345,0.595,0.018
15,0,0.467,0.88,1,0.616199,0.054467,-0.785705,0.502964,0.018191,-0.864116,0.596,0.044
16,0,0.500,0.88,1,0.649478,0.092975,-0.754675,0.557115,0.054286,-0.828659,0.651,0.093
17,0,0.533,0.88,1,0.672642,0.114021,-0.731130,0.584614,0.076567,-0.807690,0.685,0.123
18,0,0.567,0.88,1,0.681266,0.111919,-0.723430,0.590949,0.074088,-0.803300,0.695,0.121
19,0,0.600,0.98,1,0.678323,0.072778,-0.731151,0.584304,0.041327,-0.810482,0.686,0.074
20,0,0.633,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
21,0,0.667,0.28,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
22,0,0.700,0.28,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
23,0,0.733,0.28,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
24,0,0.767,0.28,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
25,0,0.800,0.28,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
26,0,0.833,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
27,0,0.867,0.28,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
28,0,0.900,0.12,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
29,0,0.933,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
30,0,0.967,0.38,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
31,0,1.000,0.32,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
32,0,1.033,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
33,0,1.067,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
34,0,1.100,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
35,0,1.133,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
36,0,1.167,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
37,0,1.200,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
38,0,1.233,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
39,0,1.267,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
40,0,1.300,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
41,0,1.333,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
42,0,1.367,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
43,0,1.400,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
44,0,1.433,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
45,0,1.467,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
46,0,1.500,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
47,0,1.533,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
48,0,1.567,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
49,0,1.600,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
50,0,1.633,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
51,0,1.667,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
52,0,1.700,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
53,0,1.733,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
54,0,1.767,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
55,0,1.800,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
56,0,1.833,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
57,0,1.867,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
58,0,1.900,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
59,0,1.933,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
60,0,1.967,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
61,0,2.000,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
62,0,2.033,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
63,0,2.067,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
64,0,2.100,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
65,0,2.133,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
66,0,2.167,0.38,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
67,0,2.200,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
68,0,2.233,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
69,0,2.267,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
70,0,2.300,0.98,1,0.874760,0.078238,-0.478198,0.855918,0.073837,-0.511812,1.051,0.152
71,0,2.333,0.22,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
72,0,2.367,0.98,1,0.858591,0.048150,-0.510396,0.816333,0.059989,-0.574457,0.996,0.099
73,0,2.400,0.98,1,0.867179,0.076528,-0.492082,0.836441,0.077703,-0.542521,1.025,0.148
74,0,2.433,0.32,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
75,0,2.467,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
76,0,2.500,0.98,1,0.857280,0.040827,-0.513229,0.822386,0.033613,-0.567936,0.999,0.069
77,0,2.533,0.98,1,0.864148,0.032850,-0.502165,0.822513,0.029655,-0.567973,1.005,0.058
78,0,2.567,0.98,1,0.847174,0.003566,-0.531304,0.800542,0.000607,-0.599276,0.969,0.004
79,0,2.600,0.98,1,0.847173,-0.020160,-0.530934,0.794440,-0.023229,-0.606898,0.965,-0.038
80,0,2.633,0.98,1,0.857413,-0.026421,-0.513950,0.807456,-0.029381,-0.589195,0.986,-0.051
81,0,2.667,0.98,1,0.855820,-0.049141,-0.514934,0.809592,-0.056530,-0.584265,0.987,-0.096
82,0,2.700,0.98,1,0.861810,-0.044527,-0.505273,0.812016,-0.045026,-0.581896,0.995,-0.082
83,0,2.733,0.98,1,0.859811,-0.039216,-0.509104,0.822133,-0.042203,-0.567729,1.001,-0.075
84,0,2.767,0.98,1,0.862295,-0.057799,-0.503098,0.834147,-0.069957,-0.547087,1.016,-0.121
85,0,2.800,0.98,1,0.864283,-0.072118,-0.497809,0.841230,-0.087702,-0.533518,1.027,-0.154
86,0,2.833,0.98,1,0.857495,-0.075935,-0.508858,0.841876,-0.097548,-0.530782,1.022,-0.165
87,0,2.867,0.28,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
88,0,2.900,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
89,0,2.933,0.57,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
