frame,face_id,timestamp,confidence,success,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz
1,0,0.000,0.88,1,-864.0,-268.5,3528.9,-0.072,-0.650,0.086
2,0,0.033,0.88,1,-864.0,-268.1,3527.8,-0.093,-0.662,0.093
3,0,0.067,0.88,1,-862.3,-267.4,3520.7,-0.102,-0.666,0.098
4,0,0.100,0.88,1,-862.9,-269.9,3521.5,-0.118,-0.647,0.104
5,0,0.133,0.88,1,-867.7,-270.9,3539.5,-0.126,-0.650,0.113
6,0,0.167,0.88,1,-877.2,-273.3,3576.7,-0.113,-0.649,0.123
7,0,0.200,0.88,1,-873.0,-275.2,3559.5,-0.151,-0.650,0.122
8,0,0.233,0.88,1,-874.8,-276.1,3567.0,-0.143,-0.644,0.129
9,0,0.267,0.88,1,-878.9,-277.1,3584.9,-0.122,-0.648,0.132
10,0,0.300,0.88,1,-879.0,-279.6,3587.1,-0.133,-0.653,0.126
11,0,0.333,0.88,1,-886.6,-280.1,3620.8,-0.102,-0.667,0.135
12,0,0.367,0.88,1,-880.9,-277.3,3598.9,-0.118,-0.680,0.124
13,0,0.400,0.88,1,-890.6,-282.3,3641.3,-0.107,-0.687,0.138
14,0,0.433,0.88,1,-891.9,-280.6,3652.6,-0.070,-0.700,0.170
15,0,0.467,0.88,1,-889.7,-277.1,3647.9,-0.026,-0.705,0.197
16,0,0.500,0.88,1,-858.8,-266.2,3527.5,0.042,-0.799,0.239
17,0,0.533,0.88,1,-847.5,-260.6,3486.3,0.080,-0.857,0.265
18,0,0.567,0.88,1,-845.6,-258.8,3481.9,0.074,-0.876,0.266
19,0,0.600,0.98,1,-847.2,-261.3,3491.7,0.003,-0.867,0.214
20,0,0.633,0.03,0,-862.2,-266.2,3550.3,0.003,-0.851,0.222
21,0,0.667,0.28,0,-870.0,-269.9,3592.2,-0.183,-0.937,0.034
22,0,0.700,0.28,0,-838.1,-262.1,3470.1,-0.412,-0.961,-0.124
23,0,0.733,0.28,0,-820.7,-255.7,3403.4,-0.442,-1.014,-0.152
24,0,0.767,0.28,0,-787.8,-245.9,3260.8,-0.411,-0.976,-0.117
25,0,0.800,0.28,0,-753.3,-236.3,3109.4,-0.416,-0.936,-0.158
26,0,0.833,0.03,0,-744.8,-232.9,3066.8,-0.396,-0.892,-0.168
27,0,0.867,0.28,0,-736.8,-230.8,3023.7,-0.403,-0.872,-0.175
28,0,0.900,0.12,0,-744.0,-231.5,3036.5,-0.437,-0.809,-0.185
29,0,0.933,0.03,0,-734.3,-227.7,2987.7,-0.470,-0.778,-0.200
30,0,0.967,0.38,0,-763.5,-233.4,3088.9,-0.420,-0.733,-0.120
31,0,1.000,0.32,0,-753.7,-229.4,3034.4,-0.274,-0.776,-0.004
32,0,1.033,0.03,0,-737.3,-221.5,2952.1,-0.130,-0.785,0.140
33,0,1.067,0.03,0,-722.3,-216.9,2888.9,-0.106,-0.793,0.148
