Lesson_ID,Gender,Atmosphere_Binary,Atmosphere_Score,Discipline
101,0,1,70,Biology
103,0,1,63,Chemistry
104,0,1,63,Chinese
106,0,1,76,Chinese
108,1,1,64,Chemistry
109,0,0,52,Math
110,0,1,75,Math
111,0,1,74,Math
112,0,1,63,History
113,0,0,57,Math
114,0,1,78,Math
115,0,1,88,Chemistry
117,0,1,82,Geography
118,1,1,82,Physics
119,0,1,95,Physics
120,0,1,91,Biology
121,0,0,57,Physics
122,0,1,82,Physics
123,0,1,85,Chinese
124,0,1,75,Chinese
125,0,1,86,Chinese
126,0,1,85,Physics
128,1,1,66,Chinese
129,1,1,89,Chinese
131,0,1,88,Chemistry
132,0,0,59,Physics
133,0,1,73,Physics
134,0,1,75,Math
135,0,0,59,Math
136,0,1,73,Chinese
137,0,1,85,Chemistry
139,0,1,78,Math
140,0,1,90,Math
142,1,0,58,History
143,0,1,64,English
144,0,1,67,Math
145,0,0,56,History
146,0,1,73,English
148,0,1,89,Chinese
149,0,1,85,English
150,0,1,84,English
152,0,1,86,Biology
153,0,1,74,Geography
154,1,1,95,Geography
155,0,1,83,Geography
156,1,0,57,Chemistry
157,0,1,66,Chemistry
158,0,1,82,Chemistry
160,0,1,92,Geography
161,0,1,86,English
164,0,1,65,Chemistry
165,0,1,75,Chemistry
166,0,1,89,Chemistry
167,0,1,76,English
168,0,0,58,Chemistry
169,0,1,64,English
171,1,1,77,English
173,0,1,67,Chemistry
174,0,1,66,Chemistry
175,0,1,85,Geography
176,0,1,74,Geography
177,0,1,85,English
178,0,1,73,English
180,0,1,65,Politics
181,0,0,50,Chinese
183,0,0,59,History
184,0,1,75,History
185,0,1,73,History
187,0,1,89,Politics
189,0,1,70,Chinese
190,0,1,82,Chinese
191,0,1,63,Math
192,0,1,66,Geography
193,0,1,94,English
194,0,1,75,Geography
195,0,1,78,Geography
197,0,1,75,Chemistry
198,0,1,67,Chinese
199,0,1,73,Geography
200,0,1,95,English
201,0,1,65,English
202,0,1,76,Geography
203,0,1,66,Geography
204,0,0,54,Chinese
205,0,1,64,Math
206,0,1,67,Biology
207,0,0,58,Math
208,0,0,56,Math
209,0,0,59,English
210,0,1,93,Chinese
211,0,1,83,Biology
212,0,1,65,Chinese
213,0,1,77,Math
214,0,1,70,Geography
216,0,1,76,Biology
217,0,1,76,History
219,0,0,58,Math
220,0,1,64,History
221,0,0,59,Physics
222,0,1,78,English
223,0,1,77,Physics
225,0,1,67,Geography
226,0,1,95,Physics
228,0,0,58,Chinese
229,0,1,83,Physics
231,0,1,77,Biology
232,0,0,58,Physics
233,0,0,59,Biology
234,0,1,77,Biology
236,1,0,58,Chemistry
237,0,1,89,Physics
239,0,1,92,Physics
240,0,0,56,Physics
242,0,0,57,Physics
243,0,1,78,Physics
245,0,1,88,Chinese
246,0,1,76,English
247,0,1,70,Geography
248,0,1,77,Politics
249,0,0,54,Math
251,0,1,78,English
252,0,1,78,English
253,0,1,76,English
254,0,1,67,English
256,0,1,73,Biology
257,0,1,65,Math
258,0,0,58,Geography
260,0,0,57,Math
262,0,1,75,Math
263,0,0,57,Math
264,0,1,73,History
265,0,0,58,Geography
267,0,1,96,Politics
268,0,0,54,Geography
269,0,1,66,Geography
270,0,1,90,politics
272,0,0,59,Geography
273,0,1,77,English
274,0,0,58,Biology
275,0,1,74,Politics
276,0,1,75,Geography
277,0,1,67,Geography
278,0,1,73,Politics
280,0,1,76,Biology
281,0,1,78,geography
283,0,1,66,Math
284,0,1,74,Chinese
285,0,1,67,Biology
286,0,1,76,Biology
288,1,1,85,Politics
289,0,1,77,Biology
290,0,1,84,Chinese
292,0,0,58,Biology
293,0,1,87,Geography
294,1,1,85,Chinese
295,0,0,59,Geography
296,0,1,75,Chinese
297,0,1,86,Physics
299,0,1,77,Geography
300,0,1,65,English
301,0,1,73,Biology
302,0,1,67,Physics
304,0,1,74,English
306,0,0,58,Geography
307,0,1,76,Biology
308,0,1,76,Politics
309,0,0,59,English
310,0,1,77,English
311,0,1,95,Chinese
313,0,1,75,Chinese
314,0,1,67,Chinese
315,0,1,75,Chinese
316,0,1,77,Chinese
317,0,1,75,Chinese
318,0,1,74,Chinese
319,0,1,77,Chinese
320,0,1,73,Chinese
321,0,1,64,Chinese
323,0,0,58,Chinese
325,0,1,75,Chinese
326,0,1,66,Chinese
327,0,1,75,Chinese
329,0,1,74,Chinese
331,0,1,85,English
332,0,1,87,Chinese
333,0,1,82,Chinese
334,0,1,90,Chinese
335,0,1,73,Chinese
336,0,1,77,History
337,0,1,85,Chinese
338,0,1,65,Chinese
339,0,0,53,Biology
340,0,1,64,Chinese
341,0,1,73,Chinese
343,1,0,59,Chinese
344,0,1,85,Biology
346,0,1,64,History
